,date,is_public_channel,civil_holyday,hour,male_duration,female_duration,music_duration
0,2010-01-01,0.0,0.032,16.632,1669.6048000000003,712.74592,1066.89984
1,2010-02-01,0.0,0.0,16.637096774193548,1731.6541935483872,715.8974193548388,1014.3822580645168
2,2010-03-01,0.0,0.0,16.211267605633804,1604.756197183098,657.277746478873,1173.0619718309854
3,2010-04-01,0.0,0.030303030303030304,16.71969696969697,1669.002272727273,677.0322727272726,1097.9863636363632
4,2010-05-01,0.0,0.1,16.44375,1673.2765,640.1466250000001,1134.797625000001
5,2010-06-01,0.0,0.0,16.71232876712329,1691.3939726027406,732.9156164383567,1031.9053424657532
6,2010-07-01,0.0,0.06015037593984962,16.593984962406015,1657.397744360902,754.4696240601509,1028.874736842105
7,2010-08-01,0.0,0.022727272727272728,16.416666666666668,1729.3272727272722,623.1586363636361,1078.6171212121212
8,2010-09-01,0.0,0.0,16.48,1724.2032000000008,709.76656,994.4745600000001
9,2010-10-01,0.0,0.0,16.830882352941178,1740.656911764706,650.5227941176473,1065.9404411764708
10,2010-11-01,0.0,0.026490066225165563,16.90728476821192,1734.2239735099326,603.9250331125828,1104.9027814569536
11,2010-12-01,0.0,0.04697986577181208,16.543624161073826,1571.6292617449667,609.5512751677852,1267.5304697986583
12,2011-01-01,0.0,0.014705882352941176,16.46323529411765,1690.6125000000006,703.5163235294118,1069.941617647059
13,2011-02-01,0.0,0.0,17.17829457364341,1702.0226356589153,686.607286821706,1052.8012403100781
14,2011-03-01,0.0,0.0,16.89032258064516,1687.2034838709676,700.4987096774195,1063.9169032258064
15,2011-04-01,0.0,0.040268456375838924,16.174496644295303,1710.8857718120805,707.6915436241611,1015.0829530201345
16,2011-05-01,0.0,0.06369426751592357,16.178343949044585,1648.4811464968154,795.5384713375797,997.3726114649685
17,2011-06-01,0.0,0.08333333333333333,16.022727272727273,1647.5539393939393,742.2937878787878,1053.7459090909097
18,2011-07-01,0.0,0.02054794520547945,16.527397260273972,1695.2089041095887,697.0706849315071,1073.3068493150683
19,2011-08-01,0.0,0.02112676056338028,16.443661971830984,1765.1198591549294,638.212676056338,1056.4457746478874
20,2011-09-01,0.0,0.0,16.23913043478261,1686.2088405797097,648.138695652174,1111.2184057971017
21,2011-10-01,0.0,0.0,16.364963503649633,1734.2813138686138,653.8037956204375,1062.9159124087594
22,2011-11-01,0.0,0.06299212598425197,16.511811023622048,1642.4573228346455,692.8662992125982,1113.0941732283466
23,2011-12-01,0.0,0.025157232704402517,16.440251572327043,1494.4216352201252,702.560754716981,1246.5067924528307
24,2012-01-01,0.0,0.03937007874015748,16.590551181102363,1774.9555905511802,728.0067716535435,979.4549606299214
25,2012-02-01,0.0,0.0,16.69291338582677,1798.7959055118108,751.5793700787403,925.1828346456695
26,2012-03-01,0.0,0.0,16.636363636363637,1787.5461538461545,746.7805594405598,938.985594405594
27,2012-04-01,0.0,0.030534351145038167,16.328244274809162,1770.1082442748082,715.4917557251906,983.3212213740456
28,2012-05-01,0.0,0.1342281879194631,16.530201342281877,1688.3004026845633,729.8561073825504,1056.8157046979866
29,2012-06-01,0.0,0.0,16.79054054054054,1715.683243243243,835.3378378378376,909.0778378378376
30,2012-07-01,0.0,0.05333333333333334,16.30666666666667,1688.9842666666677,715.3334666666668,1076.008266666667
31,2012-08-01,0.0,0.03816793893129771,16.450381679389313,1790.1746564885498,735.6877862595423,958.1345038167939
32,2012-09-01,0.0,0.0,16.541666666666668,1699.4118333333342,834.9671666666666,917.1565000000003
33,2012-10-01,0.0,0.0,16.664233576642335,1755.4925547445262,765.5340145985399,923.7452554744524
34,2012-11-01,0.0,0.056910569105691054,16.609756097560975,1714.742276422764,785.3065040650404,968.1343089430902
35,2012-12-01,0.0,0.007575757575757576,16.87878787878788,1707.0478787878792,742.4992424242424,1009.2959090909095
36,2013-01-01,0.0,0.031746031746031744,16.571428571428573,1687.7161904761906,777.7238095238092,1002.719365079365
37,2013-02-01,0.0,0.0,16.87704918032787,1730.2821311475402,780.8057377049181,950.4672131147537
38,2013-03-01,0.0,0.0,16.18918918918919,1613.8232432432442,755.034324324324,1077.3486486486495
39,2013-04-01,0.0,0.0234375,16.1484375,1609.3537500000002,750.0456250000001,1077.4054687500002
40,2013-05-01,0.0,0.09523809523809523,16.833333333333332,1579.5530158730155,763.694126984127,1117.2960317460324
41,2013-06-01,0.0,0.0,16.186567164179106,1841.3488059701488,639.4204477611939,990.714328358209
42,2013-07-01,0.0,0.043478260869565216,16.369565217391305,1758.4097101449283,708.5297101449278,988.7544927536234
43,2013-08-01,0.0,0.02702702702702703,16.614864864864863,1807.089324324324,708.3154054054052,939.2945945945949
44,2013-09-01,0.0,0.0,16.40714285714286,1735.254,854.2442857142855,863.5485714285711
45,2013-10-01,0.0,0.0,16.574193548387097,1713.397032258064,812.3203870967742,937.8553548387096
46,2013-11-01,0.0,0.041379310344827586,15.924137931034483,1744.140413793103,790.0991724137929,905.9902068965519
47,2013-12-01,0.0,0.039735099337748346,16.741721854304636,1576.5745695364233,742.3725827814571,1125.1958940397349
48,2014-01-01,0.0,0.033112582781456956,16.192052980132452,1733.627947019868,773.7147019867546,933.0842384105956
49,2014-02-01,0.0,0.0,16.49206349206349,1828.657301587302,749.5230158730167,850.7660317460316
50,2014-03-01,0.0,0.0,16.270833333333332,1757.3116666666665,809.6366666666673,872.4554166666671
51,2014-04-01,0.0,0.02158273381294964,16.12230215827338,1811.9749640287778,784.9824460431652,829.4433093525176
