,date,is_public_channel,civil_holyday,hour,male_duration,female_duration,music_duration
0,2010-01-01,0.0,0.04285714285714286,15.642857142857142,1943.7487142857144,1235.9062857142853,314.4872857142859
1,2010-02-01,0.0,0.0,16.596638655462186,1919.617983193277,1296.6929411764704,298.46739495798323
2,2010-03-01,0.0,0.0,16.013698630136986,1915.1267123287666,1202.5331506849313,394.13808219178077
3,2010-04-01,0.0,0.049586776859504134,16.74380165289256,1939.354710743802,1192.9677685950414,387.47123966942144
4,2010-05-01,0.0,0.1554054054054054,16.256756756756758,1852.3059459459457,1214.3728378378382,424.38702702702705
5,2010-06-01,0.0,0.0,16.474358974358974,2051.5407692307704,1032.8202564102562,429.17435897435894
6,2010-07-01,0.0,0.04666666666666667,15.833333333333334,1914.1730666666667,1215.059466666667,377.8658666666667
7,2010-08-01,0.0,0.035211267605633804,16.253521126760564,1977.5805633802818,1222.7576056338028,303.11619718309856
8,2010-09-01,0.0,0.0,17.05072463768116,1853.632898550724,1219.9717391304343,433.79101449275345
9,2010-10-01,0.0,0.0,16.286821705426355,1827.3238759689918,1215.1801550387593,472.06263565891476
10,2010-11-01,0.0,0.03816793893129771,17.061068702290076,1914.2804580152665,1162.5809160305348,438.85175572519074
11,2010-12-01,0.0,0.032467532467532464,16.4025974025974,1795.9041558441554,1250.3662337662338,468.15571428571434
12,2011-01-01,0.0,0.02666666666666667,16.266666666666666,1948.742,1228.5959999999998,329.3942666666666
13,2011-02-01,0.0,0.0,17.026785714285715,1932.4355357142856,1234.559107142857,344.9912500000001
14,2011-03-01,0.0,0.0,16.448979591836736,1976.8797278911566,1170.5529251700677,356.4319727891156
15,2011-04-01,0.0,0.04195804195804196,17.20979020979021,2048.7839160839153,1074.5758041958045,381.2205594405596
16,2011-05-01,0.0,0.07751937984496124,16.782945736434108,1953.649147286822,1160.8114728682165,398.45782945736437
17,2011-06-01,0.0,0.08450704225352113,16.87323943661972,1996.6287323943657,1157.0633802816906,357.17169014084527
18,2011-07-01,0.0,0.05161290322580645,16.322580645161292,2019.9669677419345,1215.3065806451616,272.60812903225815
19,2011-08-01,0.0,0.030303030303030304,16.46969696969697,2127.514393939395,1178.704393939394,199.6883333333334
20,2011-09-01,0.0,0.0,16.58823529411765,2046.622499999999,1123.3274999999999,336.76514705882363
21,2011-10-01,0.0,0.0,16.242857142857144,2005.6494285714284,1148.1427142857137,362.0011428571426
22,2011-11-01,0.0,0.0821917808219178,16.623287671232877,1957.8138356164384,1181.2515068493149,377.50630136986285
23,2011-12-01,0.0,0.05,16.242857142857144,1930.4604285714295,1151.7215714285712,433.4384285714285
24,2012-01-01,0.0,0.02877697841726619,16.431654676258994,2060.8087769784174,1133.037985611511,308.5608633093523
25,2012-02-01,0.0,0.0,16.309734513274336,1937.3261946902655,1208.1058407079647,356.37557522123905
26,2012-03-01,0.0,0.0,15.993506493506494,2074.8285714285707,1043.7789610389614,374.4738961038959
27,2012-04-01,0.0,0.030534351145038167,16.64885496183206,2057.907328244274,1057.731755725191,370.0145038167939
28,2012-05-01,0.0,0.12025316455696203,17.0,2065.6267088607597,1067.429240506329,365.0011392405064
29,2012-06-01,0.0,0.0,16.801470588235293,2111.9342647058825,1073.9954411764702,327.5829411764708
30,2012-07-01,0.0,0.0440251572327044,16.257861635220127,2039.5662893081771,1215.4945911949683,255.95886792452853
31,2012-08-01,0.0,0.015384615384615385,16.46923076923077,2068.4912307692307,1220.1372307692307,211.79061538461553
32,2012-09-01,0.0,0.0,16.390070921985817,2005.862127659574,1172.416170212766,298.2639716312058
33,2012-10-01,0.0,0.0,16.776923076923076,2046.1849230769224,1110.0535384615387,343.99707692307686
34,2012-11-01,0.0,0.1,16.553846153846155,2103.202923076923,1075.1969230769232,322.1656923076921
35,2012-12-01,0.0,0.007751937984496124,16.612403100775193,1962.8344186046515,1105.3722480620158,427.7950387596899
36,2013-01-01,0.0,0.04225352112676056,16.443661971830984,2104.2852112676055,1102.9615492957744,290.8273239436621
37,2013-02-01,0.0,0.0,16.691666666666666,2040.077,1122.210166666667,343.3366666666669
38,2013-03-01,0.0,0.0,16.305555555555557,2072.6380555555556,1056.5773611111108,375.0955555555556
39,2013-04-01,0.0,0.032520325203252036,16.4390243902439,2083.2803252032513,1067.1495934959346,346.78569105691065
40,2013-05-01,0.0,0.15827338129496402,16.611510791366907,1997.5561151079137,1139.14273381295,354.67870503597135
41,2013-06-01,0.0,0.0,16.403973509933774,1948.0741721854306,1191.718410596026,363.22701986755004
42,2013-07-01,0.0,0.0234375,15.8515625,2032.4578124999998,1200.2173437499998,272.06734374999996
43,2013-08-01,0.0,0.02857142857142857,16.335714285714285,1999.9868571428583,1256.455428571428,253.48742857142867
44,2013-09-01,0.0,0.0,16.594405594405593,2112.001818181819,1045.7946853146857,336.3332867132868
45,2013-10-01,0.0,0.0,15.974683544303797,2006.2264556962023,1143.6120253164552,340.6407594936709
46,2013-11-01,0.0,0.0625,16.953125,2006.20921875,1112.1303125,374.4815625000001
47,2013-12-01,0.0,0.04929577464788732,16.35211267605634,1984.8105633802816,1154.2647887323947,354.5832394366197
48,2014-01-01,0.0,0.034722222222222224,15.972222222222221,2039.3916666666669,1174.2054166666674,279.65708333333316
49,2014-02-01,0.0,0.0,16.532258064516128,1990.4617741935476,1204.446129032258,314.58064516129025
50,2014-03-01,0.0,0.0,16.570422535211268,2071.9216901408445,1127.4219718309862,306.73563380281684
51,2014-04-01,0.0,0.04195804195804196,16.594405594405593,2090.1848951048946,1083.33034965035,323.3107692307694
